Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
1.0, -1.07195346, -1.09289462, -1.11851988, -1.11086190
1.1, -1.09457364, -1.11628857, -1.14319605, -1.13465701
1.2, -1.10922463, -1.13171416, -1.16000119, -1.15044122
1.2, -1.11791347, -1.14119438, -1.17099652, -1.16024246
1.3, -1.12210470, -1.14621052, -1.17770910, -1.16554743
1.4, -1.12288250, -1.14786319, -1.18129379, -1.16746183
1.5, -1.12106262, -1.14698342, -1.18264705, -1.16682119
1.6, -1.11726906, -1.14420889, -1.18248797, -1.16426688
1.7, -1.11198554, -1.14003517, -1.18141792, -1.16029745
1.7, -1.10558990, -1.13485027, -1.17996939, -1.15530308
1.8, -1.09837754, -1.12895822, -1.17865554, -1.14958913
1.9, -1.09057832, -1.12259616, -1.17803808, -1.14339319
2.0, -1.08236957, -1.11594759, -1.17885275, -1.13689821
2.1, -1.07388673, -1.10915323, -1.18231900, -1.13024345
2.1, -1.06523241, -1.10232026, -1.19124751, -1.12353361
2.2, -1.05648388, -1.09552983, -1.22004785, -1.11684664
2.3, -1.04811565, -1.08884359, -1.15447918, -1.09943840
2.4, -1.04083235, -1.08230855, -1.11578374, -1.08284621
2.5, -1.03450792, -1.07596090, -1.09050750, -1.06896368
2.6, -1.02901601, -1.06982884, -1.07201337, -1.05730585
2.6, -1.02424648, -1.06393443, -1.05779906, -1.04748788
2.7, -1.02010363, -1.05829499, -1.04657956, -1.03920875
2.8, -1.01650451, -1.05292387, -1.03756487, -1.03221637
2.9, -1.01337724, -1.04783095, -1.03023189, -1.02630329
3.0, -1.01065959, -1.04302301, -1.02421469, -1.02129865
3.0, -1.00829763, -1.03850386, -1.01924408, -1.01705940
3.1, -1.00624461, -1.03427444, -1.01511543, -1.01346501
3.2, -1.00446002, -1.03033307, -1.01167069, -1.01041443
3.3, -1.00290866, -1.02667557, -1.00878573, -1.00782284
3.4, -1.00156002, -1.02329536, -1.00636176, -1.00561900
3.4, -1.00038755, -1.02018389, -1.00431940, -1.00374304
3.5, -0.99936823, -1.01733083, -1.00259425, -1.00214455
3.6, -0.99848201, -1.01472408, -1.00113387, -1.00078119
3.7, -0.99771148, -1.01235149, -0.99989553, -0.99961758
3.8, -0.99704150, -1.01019860, -0.99884255, -0.99862256
3.9, -0.99645889, -1.00825129, -0.99794634, -0.99777152
3.9, -0.99595221, -1.00649515, -0.99718238, -0.99704292
4.0, -0.99551149, -1.00491529, -0.99653012, -0.99641847
4.1, -0.99512807, -1.00349892, -0.99597248, -0.99588280
4.2, -0.99479442, -1.00223085, -0.99549510, -0.99542285
4.3, -0.99450399, -1.00109840, -0.99508590, -0.99502754
4.3, -0.99425108, -1.00008907, -0.99473477, -0.99468749
4.4, -0.99403074, -0.99919097, -0.99443306, -0.99439468
4.5, -0.99383866, -0.99839345, -0.99417352, -0.99414228
4.6, -0.99367109, -0.99768576, -0.99394995, -0.99392448
4.7, -0.99352478, -0.99705899, -0.99375711, -0.99373631
4.8, -0.99339689, -0.99650444, -0.99359054, -0.99357351
4.8, -0.99328497, -0.99601416, -0.99344643, -0.99343247
4.9, -0.99318686, -0.99558123, -0.99332154, -0.99331008
5.0, -0.99310072, -0.99519907, -0.99321308, -0.99320366
