Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
1.0, -1.07135547, -1.10242983, -1.14322144, -1.18610524
1.1, -1.09576059, -1.12757308, -1.16977323, -1.33512487
1.2, -1.11190288, -1.14444717, -1.18812851, -1.34951293
1.2, -1.12183946, -1.15511535, -1.20037598, -1.30513838
1.3, -1.12707841, -1.16109230, -1.20806228, -1.19405902
1.4, -1.12874053, -1.16350576, -1.21235489, -1.36328935
1.5, -1.12766942, -1.16320688, -1.21415465, -1.36229652
1.6, -1.12450784, -1.16084667, -1.21417606, -1.35357124
1.7, -1.11975114, -1.15692952, -1.21300679, -1.24793110
1.7, -1.11378478, -1.15185064, -1.21115502, -1.18837957
1.8, -1.10691111, -1.14592253, -1.20909276, -1.27962607
1.9, -1.09936847, -1.13939386, -1.20730621, -1.27091357
2.0, -1.09134526, -1.13246327, -1.20637402, -1.22302317
2.1, -1.08299049, -1.12528970, -1.20713022, -1.30600135
2.1, -1.07442186, -1.11800023, -1.21112418, -1.20875853
2.2, -1.06573211, -1.11069632, -1.22269833, -1.20099092
2.3, -1.05702680, -1.10345885, -1.21979070, -1.18795159
2.4, -1.04914256, -1.09635197, -1.15916150, -1.15911590
2.5, -1.04231066, -1.08942638, -1.12563248, -1.23449503
2.6, -1.03639427, -1.08272207, -1.10184958, -1.21805580
2.6, -1.03127311, -1.07627021, -1.08368743, -1.20548104
2.7, -1.02684189, -1.07009483, -1.06932029, -1.12558744
2.8, -1.02300874, -1.06421405, -1.05772570, -1.18382306
2.9, -1.01969368, -1.05864073, -1.04824365, -1.10191399
3.0, -1.01682719, -1.05338396, -1.04041642, -1.03867594
3.0, -1.01434892, -1.04844798, -1.03391248, -1.16287835
3.1, -1.01220654, -1.04383405, -1.02848108, -1.15694294
3.2, -1.01035471, -1.03953989, -1.02392734, -1.02188010
3.3, -1.00875416, -1.03556028, -1.02009897, -1.14921212
3.4, -1.00737092, -1.03188725, -1.01687207, -1.07967640
3.4, -1.00617558, -1.02851051, -1.01414675, -1.01374009
3.5, -1.00514273, -1.02541780, -1.01184126, -1.14097877
3.6, -1.00425038, -1.02259535, -1.00988817, -1.08478880
3.7, -1.00347951, -1.02002823, -1.00823160, -1.08054537
3.8, -1.00281368, -1.01770073, -1.00682499, -1.00645320
3.9, -1.00223863, -1.01559675, -1.00562933, -1.13556230
3.9, -1.00174204, -1.01370013, -1.00461231, -1.13463080
4.0, -1.00131323, -1.01199483, -1.00374607, -1.13386328
4.1, -1.00094294, -1.01046518, -1.00300781, -1.00289142
4.2, -1.00062317, -1.00909621, -1.00237806, -1.13273513
4.3, -1.00034698, -1.00787368, -1.00184035, -1.13232834
4.3, -1.00010838, -1.00678378, -1.00138083, -1.13195015
4.4, -0.99990217, -1.00581392, -1.00098777, -1.13154154
4.5, -0.99972390, -1.00495232, -1.00065123, -1.00062300
4.6, -0.99956971, -1.00418798, -1.00036282, -1.12441123
4.7, -0.99943628, -1.00351094, -1.00011543, -1.12692014
4.8, -0.99932077, -1.00291194, -0.99990303, -1.13020523
4.8, -0.99922072, -1.00238267, -0.99972051, -0.99957867
4.9, -0.99913404, -1.00191562, -0.99956353, -1.12989712
5.0, -0.99905891, -1.00150384, -0.99942842, -1.12978434
