Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
0.3, -0.65590913, -0.69285983, -0.69877066, -0.89188590
0.4, -0.95756240, -0.99481493, -1.00136190, -1.33493225
0.5, -1.07832878, -1.11598438, -1.12329541, -1.35373382
0.6, -1.12334273, -1.16167539, -1.16996633, -1.45122634
0.7, -1.13295554, -1.17233567, -1.18196955, -1.43990946
0.9, -1.12517249, -1.16604693, -1.17767227, -1.34601318
1.0, -1.10878476, -1.15166451, -1.16652624, -1.29900979
1.1, -1.08835515, -1.13380370, -1.15468430, -1.31700141
1.2, -1.06635073, -1.11499022, -1.15196026, -1.26944536
1.3, -1.04595448, -1.09665774, -1.09806507, -1.24747851
1.4, -1.02247640, -1.07963063, -1.10253812, -1.32379887
1.5, -1.00177807, -1.06436594, -1.06687122, -1.30350005
1.6, -0.98224990, -1.05108133, -1.03451118, -1.19123937
1.7, -1.01009946, -1.03982707, -1.01813133, -1.04173671
1.8, -1.00684762, -1.03053132, -1.01228465, -1.10858241
2.0, -1.00460509, -1.02303474, -1.00833244, -1.02778009
2.1, -1.00305827, -1.01712205, -1.00563692, -1.13580644
2.2, -1.00199121, -1.01255208, -1.00378703, -1.02862947
2.3, -1.00125517, -1.00908306, -1.00251227, -1.02536521
2.4, -1.00074768, -1.00649009, -1.00163152, -1.07918800
2.5, -1.00039805, -1.00457692, -1.00102265, -1.01440113
2.6, -1.00015737, -1.00317984, -1.00060146, -1.14303996
2.7, -0.99999175, -1.00216774, -1.00030983, -1.11723012
2.8, -0.99987770, -1.00143905, -1.00010750, -1.10161472
2.9, -0.99979901, -1.00091650, -0.99996663, -1.08404805
3.1, -0.99974459, -1.00054317, -0.99986813, -1.09491166
3.2, -0.99970687, -1.00027695, -0.99979892, -1.13677724
3.3, -0.99968070, -1.00008755, -0.99975007, -1.09624173
3.4, -0.99966257, -0.99995309, -0.99971544, -1.00809753
3.5, -0.99965005, -0.99985776, -0.99969079, -1.03728146
