Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
2.0, -7.84705415, -7.86613649, -7.89541944, -7.91930084
2.1, -7.86702802, -7.88567117, -7.91424084, -7.90477958
2.2, -7.88310655, -7.90144176, -7.92955865, -7.95305573
2.3, -7.89593370, -7.91407933, -7.94197368, -7.93265755
2.4, -7.90604210, -7.92410338, -7.95197925, -7.94226041
2.5, -7.91387281, -7.93194267, -7.95998357, -7.95022085
2.6, -7.91979159, -7.93795218, -7.96632712, -7.98722132
2.7, -7.92410249, -7.94242684, -7.97129629, -7.96061937
2.8, -7.92705922, -7.94561278, -7.97513428, -7.96371423
2.9, -7.92887448, -7.94771650, -7.97805010, -7.99539831
3.0, -7.92972755, -7.94891217, -7.98022596, -7.96704346
3.1, -7.92977037, -7.94934750, -7.98182371, -7.99613342
3.2, -7.92913224, -7.94914836, -7.98299038, -7.96736464
3.4, -7.92792364, -7.94842235, -7.98386505, -7.99551490
3.5, -7.92623907, -7.94726168, -7.98458433, -7.99282304
3.6, -7.92415943, -7.94574543, -7.98529229, -7.99190086
3.7, -7.92175384, -7.94394139, -7.98615476, -7.96222662
3.8, -7.91908130, -7.94190763, -7.98738577, -7.98681004
3.9, -7.91619194, -7.93969385, -7.98931021, -7.98434686
4.0, -7.91312831, -7.93734254, -7.99252264, -7.98091333
4.1, -7.90992639, -7.93489005, -7.99857319, -7.95223182
4.2, -7.90661807, -7.93236745, -8.01305994, -7.97819885
4.3, -7.90322448, -7.92980160, -8.01261321, -7.97214337
4.4, -7.89977173, -7.92721528, -8.00503643, -7.94498745
4.5, -7.89627655, -7.92462838, -7.99737690, -7.96600024
