Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
2.0, -7.89996987, -7.93273560, -7.98422168, -8.06437116
2.1, -7.91688087, -7.94864913, -7.99847730, -8.04124814
2.2, -7.93095546, -7.96183662, -8.01024252, -8.11738691
2.3, -7.94259778, -7.97271334, -8.01993838, -8.09679704
2.3, -7.95215281, -7.98162573, -8.02790801, -8.05437732
2.4, -7.95991498, -7.98886145, -8.03442710, -8.06908541
2.5, -7.96613572, -7.99466006, -8.03971738, -8.04542127
2.6, -7.97103003, -7.99922267, -8.04395982, -8.13390987
2.7, -7.97478203, -8.00271987, -8.04730558, -8.06450800
2.8, -7.97754974, -8.00529765, -8.04988419, -8.13153369
2.9, -7.97946904, -8.00708200, -8.05180917, -8.13347664
2.9, -7.98065694, -8.00818209, -8.05318209, -8.07814771
3.0, -7.98121443, -8.00869298, -8.05409533, -8.06334570
3.1, -7.98122878, -8.00869769, -8.05463420, -8.18521144
3.2, -7.98077555, -8.00826881, -8.05487875, -8.18273917
3.3, -7.97992026, -8.00746991, -8.05490538, -8.17868016
3.4, -7.97871976, -8.00635667, -8.05478887, -8.08970401
3.5, -7.97722350, -8.00497789, -8.05460456, -8.04819299
3.6, -7.97547445, -8.00337630, -8.05443252, -8.05015113
3.6, -7.97351005, -8.00158935, -8.05436224, -8.03469807
3.7, -7.97136285, -7.99964982, -8.05450220, -8.16501804
3.8, -7.96906125, -7.99758642, -8.05499699, -8.03893364
3.9, -7.96662997, -7.99542432, -8.05606392, -8.03587179
4.0, -7.96409053, -7.99318560, -8.05808202, -8.10136988
4.1, -7.96146174, -7.99088961, -8.06190296, -8.02912851
4.2, -7.95875996, -7.98855339, -8.07092360, -8.02346818
4.2, -7.95599949, -7.98619194, -8.07971685, -8.09942315
4.3, -7.95319282, -7.98381852, -8.07303744, -8.13855512
4.4, -7.95035083, -7.98144486, -8.06632642, -8.09469183
4.5, -7.94748307, -7.97908133, -8.05959838, -8.02338895
